Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;19.08.2017;20:00;101130;Bremen-Hastedt, VH Hastedter TSV;143003;VR OL MJB;Vor. Oberliga MJB Nord;SG HC Bremen/Hastedt;HSG Schwanewede/Nk.;="27:21";="11:12";Schminke Stefan;SG Findorff;;;;;;
Sun.;20.08.2017;16:00;101103;Bremen-Arsten, Vereinsporthalle TuS Komet Arsten;187002;VR OL WJC;Vorrunde OL WJC Mitte;TuS Komet Arsten;ATSV Habenhausen;="36:17";="19:6";Zapff Alexander;SV Werder Bremen;;;;;;
Tue.;22.08.2017;19:30;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;174004;VR OL WJB;Vor. Oberliga WJB West;SVGO Bremen;VfL Oldenburg;="12:32";="3:12";Becker Thoralf;TS Hoykenkamp;Schumacher Elke;Elsflether TB;;;;
Sat.;26.08.2017;14:00;813024;Delmenhorst, SH Am Stadion ;1;POK F;R1G12;TuS Komet Arsten;HSG Delmenhorst;="13:13";="5:8";Korsch Stefan;TV Langen;Reinke Stephan;TV Langen;;;;
Sat.;26.08.2017;14:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;174005;VR OL WJB;Vor. Oberliga WJB West;SV Werder Bremen;SVGO Bremen;="33:18";="14:11";Schwarze Arce;SG SV Friedrichsfehn/TuS Petersfehn;;;;;;
Sat.;26.08.2017;14:50;813024;Delmenhorst, SH Am Stadion ;2;POK F;R1G12;SV Werder Bremen II;TSV Morsum;="17:4";="9:4";Korsch Stefan;TV Langen;Reinke Stephan;TV Langen;;;;
Sat.;26.08.2017;15:00;606108;Schwanewede, Heideschule;1;POK M;R1G05 ;TV Langen;Elsflether TB II;="16:6";="8:2";Gardianczik Manfred;SVGO Bremen;Heumann Guido;SVGO Bremen;;;;
Sat.;26.08.2017;15:40;813024;Delmenhorst, SH Am Stadion ;3;POK F;R1G12;HSG Delmenhorst;SV Werder Bremen II;="6:10";="4:5";Korsch Stefan;TV Langen;Reinke Stephan;TV Langen;;;;
Sat.;26.08.2017;15:50;606108;Schwanewede, Heideschule;2;POK M;R1G05 ;HSG Schwanewede/Nk.;TV Gut Heil Spaden;="17:10";="8:5";Gardianczik Manfred;SVGO Bremen;Heumann Guido;SVGO Bremen;;;;
Sat.;26.08.2017;16:00;606107;Grasberg, SH;401006;ROL WJA (Ü);ROL WJA Mitte;HV Grasberg;TuS Komet Arsten II;="10:16";="7:9";Lindner Silke;HV Grasberg 2010;;;;;;
Sat.;26.08.2017;16:30;813024;Delmenhorst, SH Am Stadion ;4;POK F;R1G12;TSV Morsum;TuS Komet Arsten;="12:15";="6:8";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;26.08.2017;16:40;606108;Schwanewede, Heideschule;3;POK M;R1G05 ;Elsflether TB II;HSG Schwanewede/Nk.;="4:23";="1:9";Gardianczik Manfred;SVGO Bremen;Heumann Guido;SVGO Bremen;;;;
Sat.;26.08.2017;17:20;813024;Delmenhorst, SH Am Stadion ;5;POK F;R1G12;HSG Delmenhorst;TSV Morsum;="13:8";="7:5";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;26.08.2017;17:30;606108;Schwanewede, Heideschule;4;POK M;R1G05 ;TV Gut Heil Spaden;TV Langen;="10:19";="4:9";Burchhardt Julia;TS Woltmershausen;Feldmann Jörg;TS Woltmershausen;;;;
Sat.;26.08.2017;18:10;813024;Delmenhorst, SH Am Stadion ;6;POK F;R1G12;TuS Komet Arsten;SV Werder Bremen II;="10:21";="7:11";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;26.08.2017;18:20;606108;Schwanewede, Heideschule;5;POK M;R1G05 ;Elsflether TB II;TV Gut Heil Spaden;="12:19";="8:9";Burchhardt Julia;TS Woltmershausen;Feldmann Jörg;TS Woltmershausen;;;;
Sat.;26.08.2017;19:10;606108;Schwanewede, Heideschule;6;POK M;R1G05 ;TV Langen;HSG Schwanewede/Nk.;="12:14";="4:8";Burchhardt Julia;TS Woltmershausen;Feldmann Jörg;TS Woltmershausen;;;;
Sun.;27.08.2017;12:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;1;POK F;R1G13;SV Werder Bremen III;SG Findorff;="13:10";="7:6";Kahler Fabian;TV Neerstedt;Witte Marcel;TV Neerstedt;;;;
Sun.;27.08.2017;12:50;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;2;POK F;R1G13;SG HC Bremen/Hastedt;TV Oyten II;="14:19";="7:11";Kahler Fabian;TV Neerstedt;Witte Marcel;TV Neerstedt;;;;
Sun.;27.08.2017;13:40;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;3;POK F;R1G13;SG Findorff;SG HC Bremen/Hastedt;="15:13";="8:4";Kahler Fabian;TV Neerstedt;Witte Marcel;TV Neerstedt;;;;
Sun.;27.08.2017;14:00;101160;Bremen-Lesum, VH Lesum/St. Magnus;1;POK M;R1G08;TSV Daverden;HSG Lesum/St.Magnus;="14:16";="7:8";Hamann Jens;HSG Schwanewede/Neuenkirchen;Wachowiak Nikolai;HSG Schwanewede/Neuenkirchen;;;;
Sun.;27.08.2017;14:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;4;POK F;R1G13;TV Oyten II;SV Werder Bremen III;="20:15";="9:8";Heins Sebastian;TSV Bremervörde;Lüloff Frank;TSV Bremervörde;;;;
Sun.;27.08.2017;14:50;101160;Bremen-Lesum, VH Lesum/St. Magnus;2;POK M;R1G08;SG HC Bremen/Hastedt;HSG Stuhr;="14:8";="6:3";Hamann Jens;HSG Schwanewede/Neuenkirchen;Wachowiak Nikolai;HSG Schwanewede/Neuenkirchen;;;;
Sun.;27.08.2017;15:00;101184;Ritterhude, SZ;303004;ROL MJA (Ü);ROL MJA Nord;TuSG Ritterhude;SVGO Bremen;="10:34";="5:15";Klingner Carsten;SV Werder Bremen;;;;;;
Sun.;27.08.2017;15:00;606108;Schwanewede, Heideschule;143006;VR OL MJB;Vor. Oberliga MJB Nord;HSG Schwanewede/Nk.;VfL Fredenbeck;="24:33";="13:17";Becker Thoralf;TS Hoykenkamp;Schumacher Elke;Elsflether TB;;;;
Sun.;27.08.2017;15:20;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;5;POK F;R1G13;SG Findorff;TV Oyten II;="14:17";="8:7";Heins Sebastian;TSV Bremervörde;Lüloff Frank;TSV Bremervörde;;;;
Sun.;27.08.2017;15:40;101160;Bremen-Lesum, VH Lesum/St. Magnus;3;POK M;R1G08;HSG Lesum/St.Magnus;SG HC Bremen/Hastedt;="12:20";="6:11";Hamann Jens;HSG Schwanewede/Neuenkirchen;Wachowiak Nikolai;HSG Schwanewede/Neuenkirchen;;;;
Sun.;27.08.2017;16:10;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;6;POK F;R1G13;SV Werder Bremen III;SG HC Bremen/Hastedt;="19:9";="8:6";Heins Sebastian;TSV Bremervörde;Lüloff Frank;TSV Bremervörde;;;;
Sun.;27.08.2017;16:30;101160;Bremen-Lesum, VH Lesum/St. Magnus;4;POK M;R1G08;HSG Stuhr;TSV Daverden;="13:19";="5:10";Mielke Ulf;TuS Komet Arsten;Uhlenberg Torsten;TuS Komet Arsten;;;;
Sun.;27.08.2017;17:20;101160;Bremen-Lesum, VH Lesum/St. Magnus;5;POK M;R1G08;HSG Lesum/St.Magnus;HSG Stuhr;="18:14";="11:7";Mielke Ulf;TuS Komet Arsten;Uhlenberg Torsten;TuS Komet Arsten;;;;
Sun.;27.08.2017;17:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;189006;VR OL WJC;Vorrunde OL WJC Nordwest;SV Werder Bremen;JSG Altenw./Otternd.;="31:12";="11:4";Schäfer Björn;HSG Schwanewede/Neuenkirchen;;;;;;
Sun.;27.08.2017;18:10;101160;Bremen-Lesum, VH Lesum/St. Magnus;6;POK M;R1G08;TSV Daverden;SG HC Bremen/Hastedt;="9:11";="5:8";Mielke Ulf;TuS Komet Arsten;Uhlenberg Torsten;TuS Komet Arsten;;;;
Mon.;28.08.2017;17:00;101104;Bremen-Kattenesch, Gymnasium Obervieland;343001;Vor MJD;Vorrunde C MJD;TuS Komet Arsten II;SV Werder Bremen;="16:9";="10:5";Gatzka Laura;TuS Komet Arsten;Meyer Janna;TuS Komet Arsten;;;;
Fri.;01.09.2017;17:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;189007;VR OL WJC;Vorrunde OL WJC Nordwest;SV Werder Bremen;Sportclub Ihrhove 07;="35:15";="14:7";Schweier Jan;spielfrei;;;;;;
Sat.;02.09.2017;09:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;452001;V wE;Vorrunde B WJE;SV Werder Bremen;HSG Schwanewede/Nk. II;="22:4";="12:0";Kohlmeier Mareike;SV Werder Bremen;König Celina;SV Werder Bremen;;;;
Sat.;02.09.2017;10:00;101103;Bremen-Arsten, Vereinsporthalle TuS Komet Arsten;342003;Vor MJD;Vorrunde B MJD;TuS Komet Arsten wD III;SC Weyhe;="41:3";="22:1";Theilig Per;TuS Komet Arsten;;;;;;
Sat.;02.09.2017;10:30;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;451001;V wE;Vorrunde A WJE;SVGO Bremen;HSG Delmenhorst;="4:21";="2:12";Zachow Ilka;SVGO Bremen;;;;;;
Sat.;02.09.2017;11:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;353001;V mE;Vorrunde C MJE;SV Werder Bremen II;VSK Osterholz-Scharmbeck;="0:0";="0:0";Kohlmeier Mareike;SV Werder Bremen;König Celina;SV Werder Bremen;;;;
Sat.;02.09.2017;11:30;606108;Schwanewede, Heideschule;441001;Vor WJD;Vorrunde A WJD;HSG Schwanewede/Nk.;HSG Delmenhorst;="6:11";="3:6";Morisse Mike;HSG Schwanewede/Neuenkirchen;;;;;;
Sat.;02.09.2017;12:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;443001;V wE;Vorrunde C WJE;SV Werder Bremen II;SG Findorff;="2:12";="0:6";Zapff Alexander;SV Werder Bremen;;;;;;
Sat.;02.09.2017;13:00;606108;Schwanewede, Heideschule;342002;Vor MJD;Vorrunde B MJD;HSG Schwanewede/Nk.;TuS Komet Arsten;="23:32";="11:14";Morisse Mike;HSG Schwanewede/Neuenkirchen;;;;;;
Sat.;02.09.2017;13:30;101120;Bremen-Arbergen, VH SGBO Heisiusstr.;341001;Vor MJD;Vorrunde A MJD;SG Arbergen-Mahndorf;HSG Schwanewede/Nk. II;="21:6";="8:2";Böttjer Stefanie;SG Bremen-Ost;;;;;;
Sat.;02.09.2017;14:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;331002;BrL MJC;Bremenliga MJC;SV Werder Bremen II;HSG Schwanewede/Nk. II;="5:37";="1:15";Wrede Maxim;SV Werder Bremen;;;;;;
Sat.;02.09.2017;14:45;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;303007;ROL MJA (Ü);ROL MJA Nord;SVGO Bremen;TuS Komet Arsten;="28:16";="15:8";Kessler Frank;TuS Sulingen;;;;;;
Sat.;02.09.2017;15:00;606108;Schwanewede, Heideschule;321001;BrL MJB;Bremenliga MJB ;HSG Schwanewede/Nk. II;SG Findorff;="25:26";="15:11";Pomorski Peter;HSG Schwanewede/Neuenkirchen;;;;;;
Sat.;02.09.2017;15:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;111001;BrL M;Bremenliga M;SV Werder Bremen;SVGO Bremen III;="25:24";="13:11";Bartsch Christian;SG HC Bremen/Hastedt;Honschopp Thomas;SG HC Bremen/Hastedt;;;;
Sat.;02.09.2017;15:30;606107;Grasberg, SH;352001;V mE;Vorrunde B MJE;HV Grasberg;HSG Schwanewede/Nk.;="5:29";="2:18";Hinz Anja;Handballverein Grasberg 2010 e.V.;;;;;;
Sat.;02.09.2017;16:00;606105;Lilienthal-Falkenberg, Schoofmoor I;111002;BrL M;Bremenliga M;TV Lilienthal;HSG Delmenhorst III;="25:29";="8:13";Kutzschbauch Ulrich;SG Findorff;Vial Karsten;SG Findorff;;;;
Sat.;02.09.2017;16:00;101113;Bremen-Woltmershausen, MZH Roter Sand;200001;LK M KRAGE;Landesklasse M KRAGE;TS Woltmershausen;SG Arbergen-Mahndorf;="29:22";="11:12";Bräuer Andreas;SVGO Bremen;Rannenberg Marcus;SVGO Bremen;;;;
Sat.;02.09.2017;16:30;101165;Bremen-Aumund, Oberschule Lerchenstrasse;321002;BrL MJB;Bremenliga MJB ;HSG Lesum/St.Magnus;SV Werder Bremen;="23:33";="7:11";Lichtenberg Marcel;SG HC Bremen/Hastedt;;;;;;
Sat.;02.09.2017;17:00;101134;Bremen-Findorff, BSA Findorff Nürnberger Str.;108002;LL F;Landesliga F Bremen;SG Findorff;TuS Komet Arsten;="39:35";="23:16";Mechau Volker;HSG Schwanewede/Neuenkirchen;Mechau Annika;HSG Schwanewede/Neuenkirchen;;;;
Sat.;02.09.2017;17:00;101122;Bremen-Hemelingen, Bezirkssportanlage Hemelingen;135004;LL MJA;Landesliga MJA Nord;SG Arbergen-Mahndorf;SFN Vechta;="25:28";="10:12";Röwer Lars;ATSV Habenhausen;;;;;;
Sat.;02.09.2017;17:00;606108;Schwanewede, Heideschule;303008;ROL MJA (Ü);ROL MJA Nord;HSG Schwanewede/Nk.;TuSG Ritterhude;="44:31";="23:18";Cordes Jens;TuS Komet Arsten;Brandt Heiko;TuS Komet Arsten;;;;
Sat.;02.09.2017;17:00;606111;Tarmstedt, SH KGS;121001;StL A M;Stadtliga A M;TuS Tarmstedt;SG Buntentor/Neustadt II;="26:30";="12:15";Schröder Sven;Handballverein Grasberg 2010 e.V.;;;;;;
Sat.;02.09.2017;17:00;606107;Grasberg, SH;131001;StL B M;Stadtliga B M;HV Grasberg II;SV Werder Bremen II;="27:31";="17:16";Weingarten Sven;TV Lilienthal;;;;;;
Sat.;02.09.2017;17:00;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;174008;VR OL WJB;Vor. Oberliga WJB West;SVGO Bremen;SG Neuenhaus/Uelsen;="19:25";="9:9";Rohlfs Uwe;HSG Mittelweser/Eystrup;;;;;;
Sat.;02.09.2017;17:15;813024;Delmenhorst, SH Am Stadion ;121002;StL A M;Stadtliga A M;HSG Delmenhorst IV;TSV Farge-Rekum;="25:30";="11:12";Ortmann Dieter;SC Weyhe;;;;;;
Sat.;02.09.2017;17:40;101130;Bremen-Hastedt, VH Hastedter TSV;431001;BrL WJC;Bremenliga WJC;SG HC Bremen/Hastedt;SG Arbergen-Mahndorf;="28:21";="13:10";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;02.09.2017;18:00;101113;Bremen-Woltmershausen, MZH Roter Sand;121003;StL A M;Stadtliga A M;TS Woltmershausen II;SG Arbergen-Mahndorf II;="15:21";="7:11";Theilig Per;TuS Komet Arsten;;;;;;
Sat.;02.09.2017;18:30;606105;Lilienthal-Falkenberg, Schoofmoor I;176002;LL WJB;Landesliga WJB Ost;TV Lilienthal;ATSV Habenhausen;="22:33";="11:20";Schwarze Arce;SG SV Friedrichsfehn/TuS Petersfehn;;;;;;
Sat.;02.09.2017;18:30;101101;Leeste, Kooperative Gesamtschule Leeste I;131002;StL B M;Stadtliga B M;SC Weyhe;TSV Farge-Rekum II;="21:25";="10:11";Kessler Frank;TuS Sulingen;;;;;;
Sat.;02.09.2017;19:00;101134;Bremen-Findorff, BSA Findorff Nürnberger Str.;211001;BrL F;Bremenliga F;SG Findorff II;SVGO Bremen;="23:29";="12:16";Grieme Jens;ATSV Habenhausen;;;;;;
Sat.;02.09.2017;19:00;606108;Schwanewede, Heideschule;103005;OL M;Oberliga M Nordsee;HSG Schwanewede/Nk.;SG HC Bremen/Hastedt;="27:27";="11:10";Morgenstern Manuel;TSV Daverden;Tapper Axel;TS Woltmershausen;;;;
Sat.;02.09.2017;19:00;606107;Grasberg, SH;303009;ROL MJA (Ü);ROL MJA Nord;HV Grasberg;JMSG Loxstedt/Bexhövede/HG Bremerhaven;="0:0";="0:0";;;;;;;;
Sat.;02.09.2017;19:15;813024;Delmenhorst, SH Am Stadion ;105005;VL M;Verbandsliga M Nordsee;HSG Delmenhorst;TuRa Marienhafe;="31:27";="14:12";Becker Thoralf;TS Hoykenkamp;Schumacher Elke;Elsflether TB;;;;
Sat.;02.09.2017;19:30;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;106006;LL M;Landesliga M Bremen;SVGO Bremen;HSG Delmenhorst II;="36:32";="16:14";Rohlfs Uwe;HSG Mittelweser/Eystrup;;;;;;
Sat.;02.09.2017;19:30;101130;Bremen-Hastedt, VH Hastedter TSV;106005;LL M;Landesliga M Bremen;SG HC Bremen/Hastedt II;SG Achim/Baden II;="25:25";="13:13";Bohling Jens;HSG Cluvenhagen/Langwedel;Lühning Heiko;TSV Walle;;;;
Sun.;03.09.2017;10:00;606105;Lilienthal-Falkenberg, Schoofmoor I;451002;V wE;Vorrunde A WJE;TV Lilienthal II;HSG Schwanewede/Nk.;="0:26";="0:8";Berthold Tim;TV Lilienthal;;;;;;
Sun.;03.09.2017;10:00;101104;Bremen-Kattenesch, Gymnasium Obervieland;443001;Vor WJD;Vorrunde C WJD;TuS Komet Arsten II;SV Werder Bremen;="13:21";="6:12";Breitenborn Julia;TuS Komet Arsten;;;;;;
Sun.;03.09.2017;10:00;101184;Ritterhude, SZ;443002;V wE;Vorrunde C WJE;TuSG Ritterhude;HSG Delmenhorst II;="0:30";="0:20";Harjes Katrin;TuSG Ritterhude;;;;;;
Sun.;03.09.2017;10:20;101113;Bremen-Woltmershausen, MZH Roter Sand;354002;V mE;Vorrunde D MJE;TS Woltmershausen II;HSG Schwanewede/Nk. II;="5:24";="4:12";Mester Lena;TS Woltmershausen;;;;;;
Sun.;03.09.2017;10:30;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;342001;Vor MJD;Vorrunde B MJD;SVGO Bremen;ATSV Habenhausen;="9:14";="3:6";Hofmann Lars;SVGO Bremen;;;;;;
Sun.;03.09.2017;10:30;101120;Bremen-Arbergen, VH SGBO Heisiusstr.;442001;Vor WJD;Vorrunde B WJD;SG Arbergen-Mahndorf;SV Werder Bremen II;="26:9";="15:5";Heitmann Jörg;SG Bremen-Ost;;;;;;
Sun.;03.09.2017;11:00;101105;Bremen-Habenhausen, Hinni-Schwenker-Halle;352002;V mE;Vorrunde B MJE;ATSV Habenhausen II;SV Werder Bremen;="0:0";="0:0";Voigts Steffen;SC Weyhe;;;;;;
Sun.;03.09.2017;11:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;343002;Vor MJD;Vorrunde C MJD;SV Werder Bremen;HV Grasberg;="19:9";="7:6";Albrecht Michael;SV Werder Bremen;;;;;;
Sun.;03.09.2017;11:15;606105;Lilienthal-Falkenberg, Schoofmoor I;452002;V wE;Vorrunde B WJE;TV Lilienthal;SG HC Bremen/Hastedt;="13:16";="3:3";Wendler Benedikt;TV Lilienthal;;;;;;
Sun.;03.09.2017;11:20;101134;Bremen-Findorff, BSA Findorff Nürnberger Str.;341002;Vor MJD;Vorrunde A MJD;SG Findorff;HSG Delmenhorst;="5:20";="1:10";Droste Michael;SG Findorff;;;;;;
Sun.;03.09.2017;11:30;101104;Bremen-Kattenesch, Gymnasium Obervieland;452003;V wE;Vorrunde B WJE;TuS Komet Arsten II;HV Grasberg;="4:6";="2:2";Breitenborn Julia;TuS Komet Arsten;;;;;;
Sun.;03.09.2017;11:40;101113;Bremen-Woltmershausen, MZH Roter Sand;353003;V mE;Vorrunde C MJE;TS Woltmershausen;TuSG Ritterhude;="26:3";="17:1";Mester Lena;TS Woltmershausen;;;;;;
Sun.;03.09.2017;12:20;101165;Bremen-Aumund, Oberschule Lerchenstrasse;451003;V wE;Vorrunde A WJE;JMSG Bremen-Nord;TuS Komet Arsten;="5:13";="2:3";Röse André;HSG Vegesack/Hammersbeck;;;;;;
Sun.;03.09.2017;12:30;606101;Osterholz-Scharmbeck, KSH;441002;Vor WJD;Vorrunde A WJD;VSK Osterholz-Scharmbeck;HSG Vegesack/Hammersbeck;="9:4";="5:3";Horst Niklas;VSK Osterholz-Scharmbeck;;;;;;
Sun.;03.09.2017;12:30;606105;Lilienthal-Falkenberg, Schoofmoor I;354003;V mE;Vorrunde D MJE;TV Lilienthal;TSV Farge-Rekum;="10:27";="5:14";Wendler Benedikt;TV Lilienthal;;;;;;
Sun.;03.09.2017;12:45;101105;Bremen-Habenhausen, Hinni-Schwenker-Halle;443003;V wE;Vorrunde C WJE;ATSV Habenhausen;SG Arbergen-Mahndorf;="9:8";="3:3";Grieme Jens;ATSV Habenhausen;;;;;;
Sun.;03.09.2017;13:00;101113;Bremen-Woltmershausen, MZH Roter Sand;321003;BrL MJB;Bremenliga MJB ;TS Woltmershausen;VSK Osterholz-Scharmbeck;="35:18";="15:7";Schütze Thorben;HSG Lesum/St.Magnus;Theuerkauff Hartmut;HSG Lesum/St.Magnus;;;;
Sun.;03.09.2017;13:00;101134;Bremen-Findorff, BSA Findorff Nürnberger Str.;135006;LL MJA;Landesliga MJA Nord;SG Findorff;HSG Bützfleth/Drochtersen;="23:10";="10:7";Röwer Lars;ATSV Habenhausen;;;;;;
Sun.;03.09.2017;13:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;401010;ROL WJA (Ü);ROL WJA Mitte;SV Werder Bremen II;HG Bremerhaven;="11:16";="6:9";Honschopp Thomas;SG HC Bremen/Hastedt;;;;;;
Sun.;03.09.2017;13:00;101104;Bremen-Kattenesch, Gymnasium Obervieland;352003;V mE;Vorrunde B MJE;TuS Komet Arsten II;SVGO Bremen;="0:0";="0:0";Hofmann Lars;SVGO Bremen;Vrolichs Nick;TuS Komet Arsten;;;;
Sun.;03.09.2017;13:25;101184;Ritterhude, SZ;401008;ROL WJA (Ü);ROL WJA Mitte;TuSG Ritterhude II;HV Grasberg;="14:13";="10:7";Rüttjerott Adrian;SVGO Bremen;;;;;;
Sun.;03.09.2017;13:40;101165;Bremen-Aumund, Oberschule Lerchenstrasse;431003;BrL WJC;Bremenliga WJC;HSG Vegesack/Hammersbeck;SVGO Bremen;="22:18";="12:6";Nolte Nicolas;spielfrei;;;;;;
Sun.;03.09.2017;13:45;606105;Lilienthal-Falkenberg, Schoofmoor I;343003;Vor MJD;Vorrunde C MJD;TV Lilienthal;TuS Komet Arsten II;="31:16";="16:8";Hansel Nils;TV Lilienthal;;;;;;
Sun.;03.09.2017;14:00;101130;Bremen-Hastedt, VH Hastedter TSV;442002;Vor WJD;Vorrunde B WJD;SG HC Bremen/Hastedt;HV Grasberg;="0:0";="0:0";SG HC Bremen / Hastedt SR;SG HC Bremen/Hastedt;;;;;;
Sun.;03.09.2017;14:30;101113;Bremen-Woltmershausen, MZH Roter Sand;210002;LK F KRAGE;Landesklasse F KRAGE;TS Woltmershausen;SG Arbergen-Mahndorf;="25:22";="10:9";Klimach Michael;SVGO Bremen;Pakendorf Kai;SVGO Bremen;;;;
Sun.;03.09.2017;14:30;101104;Bremen-Kattenesch, Gymnasium Obervieland;354001;V mE;Vorrunde D MJE;TuS Komet Arsten;SG Findorff;="23:6";="12:2";Vrolichs Nick;TuS Komet Arsten;;;;;;
Sun.;03.09.2017;14:45;101105;Bremen-Habenhausen, Hinni-Schwenker-Halle;135008;LL MJA;Landesliga MJA Nord;ATSV Habenhausen;JSG Altenw./Otternd.;="42:36";="19:16";Hustedt Volkmar;TSV Daverden;;;;;;
Sun.;03.09.2017;15:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;431004;BrL WJC;Bremenliga WJC;SV Werder Bremen II;TuS Komet Arsten III;="18:15";="10:4";Pokall Lars;HSG Vegesack/Hammersbeck;;;;;;
Sun.;03.09.2017;15:00;606105;Lilienthal-Falkenberg, Schoofmoor I;443002;Vor WJD;Vorrunde C WJD;TV Lilienthal;SVGO Bremen;="9:17";="5:11";Hansel Nils;TV Lilienthal;;;;;;
Sun.;03.09.2017;15:20;101165;Bremen-Aumund, Oberschule Lerchenstrasse;121005;StL A M;Stadtliga A M;HSG Lesum/St.Magnus II;ATSV Habenhausen IV;="24:24";="17:13";Janßen Jörn;HSG Delmenhorst;;;;;;
Sun.;03.09.2017;15:30;101130;Bremen-Hastedt, VH Hastedter TSV;341003;Vor MJD;Vorrunde A MJD;SG HC Bremen/Hastedt II;JMSG Bremen-Nord;="14:19";="2:10";SG HC Bremen / Hastedt SR;SG HC Bremen/Hastedt;;;;;;
Sun.;03.09.2017;16:00;606101;Osterholz-Scharmbeck, KSH;111003;BrL M;Bremenliga M;VSK Osterholz-Scharmbeck;HSG Schwanewede/Nk. III;="36:18";="16:10";Hörner Colin;HSG Delmenhorst;Hörner Marlin;HSG Delmenhorst;;;;
Sun.;03.09.2017;16:00;101104;Bremen-Kattenesch, Gymnasium Obervieland;431005;BrL WJC;Bremenliga WJC;TuS Komet Arsten II;HSG Schwanewede/Nk.;="22:21";="13:9";Winkelmann Lara;SG SV Friedrichsfehn/TuS Petersfehn;Meissner Jonas;HSG Delmenhorst;;;;
Sun.;03.09.2017;16:15;606105;Lilienthal-Falkenberg, Schoofmoor I;431006;BrL WJC;Bremenliga WJC;TV Lilienthal;SG Findorff;="24:20";="11:10";Bartschies Vilja;TuS Tarmstedt;Vehring Silke;TuS Tarmstedt;;;;
Sun.;03.09.2017;16:30;101113;Bremen-Woltmershausen, MZH Roter Sand;176004;LL WJB;Landesliga WJB Ost;TS Woltmershausen;TuS Komet Arsten;="33:17";="17:7";Renken Ingo;ATSV Habenhausen;;;;;;
Sun.;03.09.2017;17:00;101105;Bremen-Habenhausen, Hinni-Schwenker-Halle;107006;OL F;Oberliga F Nordsee;ATSV Habenhausen;Elsflether TB;="27:17";="10:11";Bujalla Heiko;TV Oyten;Hustedt Volkmar;TSV Daverden;;;;
Sun.;03.09.2017;17:00;101134;Bremen-Findorff, BSA Findorff Nürnberger Str.;121004;StL A M;Stadtliga A M;SG Findorff III;SVGO Bremen IV;="24:27";="13:15";Janßen Jürgen;HSG Delmenhorst;;;;;;
Sun.;03.09.2017;17:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;131003;StL B M;Stadtliga B M;SV Werder Bremen III;TuSG Ritterhude;="20:26";="10:12";Pokall Lars;HSG Vegesack/Hammersbeck;;;;;;
Sun.;03.09.2017;17:00;101130;Bremen-Hastedt, VH Hastedter TSV;343004;Vor MJD;Vorrunde C MJD;SG HC Bremen/Hastedt;TS Woltmershausen;="21:17";="10:9";Schäfer Yannick;ATSV Habenhausen;;;;;;
Sun.;03.09.2017;17:20;101165;Bremen-Aumund, Oberschule Lerchenstrasse;111005;BrL M;Bremenliga M;HSG Vegesack/Hammersbeck;SG Findorff;="18:26";="8:11";Pomorski Peter;HSG Schwanewede/Neuenkirchen;Pomorski Florian;HSG Schwanewede/Neuenkirchen;;;;
